"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
2,2016-02-20,"20:04","A","Wet/Damp",4,1,8,1,3,1,36
2,2016-02-20,"20:04","A","Wet/Damp",4,1,9,1,2,2,19
2,2016-02-20,"15:50","A","Wet/Damp",1,5,9,1,3,2,30
3,2016-02-22,"07:00","M","Wet/Damp",1,1,9,1,3,1,41
3,2016-02-22,"07:00","M","Wet/Damp",1,1,9,2,3,1,60
3,2016-02-22,"07:50","U","Dry",1,1,9,2,3,2,7
3,2016-02-22,"07:50","U","Dry",1,1,9,2,3,2,9
2,2016-02-22,"11:29","M","Wet/Damp",1,1,9,1,3,1,44
1,2016-02-22,"17:10","U","Dry",1,1,5,1,2,1,41
1,2016-02-22,"13:20","U","Dry",1,1,9,3,3,2,29
2,2016-02-24,"18:05","U","Dry",4,1,1,1,3,2,45
2,2016-02-24,"11:57","A","Dry",1,1,9,1,3,2,35
1,2016-02-24,"13:37","A","Dry",1,1,9,3,3,1,29
1,2016-02-25,"15:50","A","Dry",1,1,9,3,3,1,3
2,2016-02-25,"17:20","U","Dry",1,1,9,1,3,2,41
2,2016-02-26,"13:40","U","Dry",1,1,9,1,3,1,NA
2,2016-02-27,"19:50","A","Dry",4,1,9,1,3,1,19
2,2016-02-27,"19:50","A","Dry",4,1,9,2,3,1,70
2,2016-02-27,"19:50","A","Dry",4,1,9,2,3,2,18
2,2016-02-27,"19:50","A","Dry",4,1,9,1,3,2,55
1,2016-02-29,"07:15","A","Dry",1,1,9,1,3,2,19
1,2016-02-29,"07:15","A","Dry",1,1,9,2,2,2,23
1,2016-02-28,"13:45","A","Dry",1,1,5,1,3,1,51
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,2,2,1,4
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,1,3,1,23
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,1,3,1,53
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,2,3,1,11
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,2,3,2,52
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,2,3,1,12
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,1,3,2,35
3,2016-03-01,"15:40","U","Wet/Damp",1,2,9,2,3,2,6
1,2016-03-02,"05:42","A","Snow",4,6,9,1,3,1,47
1,2016-03-02,"09:05","U","Snow",1,3,9,1,3,2,48
2,2016-03-02,"12:50","U","Dry",1,9,9,1,3,1,23
3,2016-03-02,"16:20","A","Dry",1,1,9,1,3,2,51
3,2016-03-02,"17:27","M","Wet/Damp",1,1,19,1,3,1,39
3,2016-03-02,"17:27","M","Wet/Damp",1,1,9,1,3,1,35
2,2016-03-02,"17:25","U","Dry",1,9,9,1,3,2,19
2,2016-03-02,"17:25","U","Dry",1,9,9,2,3,2,21
1,2016-03-04,"09:58","U","Snow",1,3,9,1,3,1,57
2,2016-03-04,"08:00","A","Snow",1,3,1,1,3,2,36
2,2016-03-04,"15:00","U","Snow",1,3,9,1,3,2,40
1,2016-03-05,"10:30","U","Dry",1,1,9,3,3,2,12
2,2016-03-06,"19:23","U","Dry",4,1,9,1,3,1,25
1,2016-03-07,"09:04","U","Dry",1,1,9,3,3,2,67
2,2016-03-07,"18:40","A","Dry",1,1,9,1,3,1,64
2,2016-03-07,"18:40","A","Dry",1,1,20,1,3,1,57
2,2016-03-07,"18:40","A","Dry",1,1,20,3,3,1,55
2,2016-03-07,"16:42","U","Dry",1,1,9,1,3,1,33
1,2016-03-09,"15:45","U","Wet/Damp",1,2,9,3,3,1,11
2,2016-03-10,"06:51","U","Dry",1,9,9,1,3,1,48
2,2016-03-10,"06:57","U","Wet/Damp",6,1,9,1,3,1,35
1,2016-03-12,"17:00","U","Dry",1,1,9,3,3,1,7
6,2016-03-13,"10:48","A","Dry",1,1,9,2,3,1,25
6,2016-03-13,"10:48","A","Dry",1,1,9,1,3,1,22
6,2016-03-13,"10:48","A","Dry",1,1,9,2,3,1,21
2,2016-03-15,"07:59","M","Wet/Damp",1,1,19,1,3,1,34
1,2016-03-18,"06:00","A","Dry",1,9,19,2,3,1,24
2,2016-03-18,"08:30","A","Dry",1,1,9,1,3,2,21
1,2016-03-19,"11:07","U","Dry",1,1,9,3,3,1,26
2,2016-03-19,"13:30","U","Dry",1,1,9,1,2,1,88
1,2016-03-19,"17:27","U","Dry",1,1,9,1,3,2,24
1,2016-03-19,"17:27","U","Dry",1,1,9,2,3,2,23
3,2016-03-19,"18:56","U","Dry",4,1,9,1,3,1,72
3,2016-03-19,"18:56","U","Dry",4,1,9,1,3,1,21
3,2016-03-19,"18:56","U","Dry",4,1,9,2,3,2,21
1,2016-03-19,"19:02","U","Dry",1,1,9,3,2,1,93
2,2016-03-21,"16:55","U","Dry",1,1,1,1,3,1,41
3,2016-03-22,"17:10","A","Dry",1,1,5,1,2,1,36
1,2016-03-22,"17:30","A","Dry",1,1,9,3,3,1,7
2,2016-03-23,"17:00","U","Dry",1,1,9,1,3,1,79
1,2016-03-24,"07:59","U","Wet/Damp",1,8,9,1,3,2,27
1,2016-03-24,"07:59","U","Wet/Damp",1,8,9,2,3,1,36
3,2016-03-24,"10:25","A","Wet/Damp",1,1,9,1,3,1,59
3,2016-03-24,"10:25","A","Wet/Damp",1,1,9,2,3,2,10
1,2016-03-24,"15:55","A","Dry",1,8,9,3,2,1,14
2,2016-03-24,"18:27","A","Wet/Damp",4,2,4,1,3,1,49
2,2016-03-25,"07:15","A","Dry",1,1,1,1,3,1,50
1,2016-03-26,"17:31","M","Wet/Damp",1,5,9,1,3,2,33
1,2016-03-27,"13:50","M","Wet/Damp",1,5,9,2,3,2,26
3,2016-03-27,"19:10","A","Wet/Damp",1,1,9,1,3,1,39
3,2016-03-29,"08:45","A","Wet/Damp",1,3,9,1,3,1,36
2,2016-03-29,"06:00","A","Dry",1,1,9,1,3,1,35
2,2016-03-31,"09:30","A","Dry",1,1,9,1,3,1,35
2,2016-03-31,"09:30","A","Dry",1,1,9,2,3,1,35
1,2016-04-02,"05:50","U","Wet/Damp",1,1,9,3,3,1,36
1,2016-04-02,"13:53","U","Dry",1,1,9,3,2,1,22
3,2016-04-02,"16:10","A","Dry",1,1,9,1,3,1,47
3,2016-04-02,"16:10","A","Dry",1,1,9,2,3,2,46
3,2016-04-02,"16:10","A","Dry",1,1,9,2,3,2,16
3,2016-04-02,"16:10","A","Dry",1,1,9,1,3,2,32
3,2016-04-02,"16:10","A","Dry",1,1,9,2,3,1,62
3,2016-04-02,"16:10","A","Dry",1,1,9,2,3,2,62
3,2016-04-02,"16:10","A","Dry",1,1,9,1,3,2,70
3,2016-04-02,"16:10","A","Dry",1,1,9,2,3,2,70
1,2016-04-06,"21:48","U","Wet/Damp",5,2,8,3,3,1,77
1,2016-04-08,"10:30","M","Dry",1,1,21,1,3,1,49
1,2016-04-10,"14:43","U","Dry",1,1,9,3,3,2,14
3,2016-04-10,"21:22","A","Dry",4,1,9,1,3,1,32
1,2016-04-11,"13:08","A","Dry",1,1,21,3,3,1,54
1,2016-04-11,"16:04","U","Dry",1,1,9,3,3,2,4
1,2016-04-12,"12:36","U","Wet/Damp",1,2,9,3,2,2,37
2,2016-04-12,"16:20","U","Wet/Damp",1,2,9,1,3,2,44
2,2016-04-12,"16:20","U","Wet/Damp",1,2,9,1,3,2,23
1,2016-04-12,"21:04","U","Wet/Damp",4,1,9,2,2,1,19
1,2016-04-12,"21:04","U","Wet/Damp",4,1,9,2,2,1,15
1,2016-04-12,"21:04","U","Wet/Damp",4,1,9,2,2,1,25
2,2016-04-13,"16:49","U","Dry",1,1,9,1,3,2,46
1,2016-04-13,"17:00","U","Dry",1,1,5,1,1,1,46
2,2016-04-15,"12:56","U","Dry",1,1,1,1,3,1,43
1,2016-04-14,"15:15","U","Dry",1,1,9,3,3,1,4
2,2016-04-14,"18:00","B","Dry",1,1,9,1,3,2,25
2,2016-04-15,"15:05","U","Wet/Damp",1,1,5,1,2,2,53
2,2016-04-15,"18:00","A","Dry",1,1,1,1,3,1,50
1,2016-04-18,"22:21","U","Dry",4,1,9,3,3,2,55
2,2016-04-19,"08:00","U","Dry",1,1,3,1,2,2,21
4,2016-04-19,"11:36","A","Dry",1,1,9,1,3,2,26
4,2016-04-19,"11:36","A","Dry",1,1,9,1,3,2,38
2,2016-04-20,"09:10","A","Dry",1,1,5,1,2,1,74
4,2016-04-20,"15:25","U","Dry",1,1,9,1,3,1,37
4,2016-04-20,"15:25","U","Dry",1,1,8,1,3,1,45
4,2016-04-20,"15:25","U","Dry",1,1,9,1,3,2,51
4,2016-04-20,"15:25","U","Dry",1,1,9,1,3,1,24
3,2016-04-21,"22:44","A","Dry",4,1,9,1,3,1,34
3,2016-04-21,"22:44","A","Dry",4,1,9,2,3,1,20
2,2016-04-22,"08:11","A","Dry",1,1,9,1,3,2,57
2,2016-04-22,"08:11","A","Dry",1,1,9,1,3,2,62
2,2016-04-22,"12:58","A","Dry",1,1,9,1,3,2,41
2,2016-04-23,"01:30","A","Dry",4,1,9,1,3,1,23
2,2016-04-23,"01:30","A","Dry",4,1,8,1,3,1,40
2,2016-04-17,"17:30","U","Dry",1,1,9,2,3,2,51
2,2016-04-25,"06:10","A","Dry",1,1,1,1,3,1,37
2,2016-04-25,"17:36","M","Wet/Damp",1,1,9,1,3,1,27
2,2016-04-25,"17:36","M","Wet/Damp",1,1,20,1,3,1,31
2,2016-04-25,"17:30","A","Dry",1,1,1,1,3,1,59
1,2016-04-26,"15:45","B","Dry",1,1,9,3,3,1,14
3,2016-04-28,"21:04","U","Dry",4,1,9,3,3,1,60
2,2016-04-30,"07:18","U","Dry",1,1,9,1,3,2,30
1,2016-04-30,"12:05","A","Dry",1,1,9,3,3,1,51
2,2016-04-30,"19:25","U","Dry",1,1,9,1,3,1,54
1,2016-04-30,"12:30","U","Dry",1,1,9,3,3,2,43
2,2016-05-01,"22:39","U","Dry",4,1,9,1,3,2,26
2,2016-05-03,"11:26","M","Dry",1,1,9,1,3,1,29
1,2016-05-03,"17:25","U","Dry",1,1,9,3,2,1,11
3,2016-05-04,"07:43","M","Dry",1,1,9,1,3,2,31
3,2016-05-04,"07:43","M","Dry",1,1,9,1,3,2,22
1,2016-05-05,"07:56","A","Dry",1,1,5,3,3,2,25
1,2016-05-05,"07:56","A","Dry",1,1,5,1,3,1,24
1,2016-05-05,"07:56","A","Dry",1,1,5,2,3,2,22
2,2016-05-05,"17:00","U","Dry",1,1,9,1,3,1,24
2,2016-05-06,"14:18","A","Dry",1,1,9,1,3,2,27
2,2016-05-06,"12:30","B","Dry",1,1,9,3,3,2,40
1,2016-05-07,"22:07","A","Wet/Damp",6,1,9,2,3,1,19
2,2016-05-08,"12:02","A","Dry",1,1,1,1,3,1,30
1,2016-05-10,"15:15","U","Dry",1,1,9,3,3,2,6
2,2016-05-10,"17:20","U","Wet/Damp",1,2,1,1,3,1,40
2,2016-05-10,"13:45","U","Dry",1,1,5,1,3,1,50
3,2016-05-11,"09:04","U","Dry",1,1,9,1,3,2,79
3,2016-05-11,"09:04","U","Dry",1,1,9,1,3,2,73
4,2016-05-12,"07:05","A","Dry",1,1,9,1,3,2,64
4,2016-05-12,"07:05","A","Dry",1,1,9,1,3,2,55
1,2016-05-13,"15:55","U","Dry",1,1,9,3,2,1,20
1,2016-05-13,"20:00","U","Dry",1,1,2,1,3,1,19
2,2016-05-14,"09:51","U","Dry",1,1,9,1,3,2,24
2,2016-05-14,"14:38","U","Dry",1,1,9,1,3,2,24
2,2016-05-14,"14:38","U","Dry",1,1,9,1,3,2,42
2,2016-05-14,"14:20","A","Dry",1,1,9,2,3,1,9
2,2016-05-14,"14:20","A","Dry",1,1,9,1,3,1,32
2,2016-05-14,"14:20","A","Dry",1,1,9,2,3,2,11
1,2016-05-14,"19:05","A","Dry",1,1,19,3,3,2,32
2,2016-05-15,"08:55","A","Dry",1,1,9,1,3,1,48
2,2016-05-15,"08:55","A","Dry",1,1,9,1,3,2,20
2,2016-05-16,"17:35","A","Dry",1,1,5,1,3,1,57
2,2016-05-16,"20:00","A","Dry",1,1,1,1,3,1,13
2,2016-05-16,"23:14","A","Dry",4,1,9,1,3,1,83
2,2016-05-16,"23:14","A","Dry",4,1,9,2,3,1,79
2,2016-05-16,"23:14","A","Dry",4,1,9,1,3,1,34
2,2016-05-17,"12:09","U","Dry",1,1,19,1,3,2,31
2,2016-05-17,"12:09","U","Dry",1,1,9,1,3,1,42
1,2016-05-14,"16:45","U","Dry",1,1,9,3,3,1,35
3,2016-05-17,"18:10","U","Dry",1,1,9,1,3,2,19
3,2016-05-17,"18:10","U","Dry",1,1,9,2,3,1,62
2,2016-05-19,"14:00","U","Dry",1,1,9,2,3,1,1
2,2016-05-19,"14:00","U","Dry",1,1,9,1,3,2,52
1,2016-05-19,"21:49","U","Dry",4,1,9,3,3,2,45
1,2016-05-19,"21:49","U","Dry",4,1,9,1,3,2,26
1,2016-05-20,"02:30","U","Wet/Damp",4,1,9,3,3,2,23
1,2016-05-20,"02:30","U","Wet/Damp",4,1,9,3,3,2,24
1,2016-05-20,"02:30","U","Wet/Damp",4,1,9,3,3,1,25
1,2016-05-21,"02:10","A","Wet/Damp",4,2,9,1,2,1,20
1,2016-05-21,"02:10","A","Wet/Damp",4,2,9,2,2,1,NA
1,2016-05-21,"02:10","A","Wet/Damp",4,2,9,2,3,1,21
1,2016-05-21,"02:10","A","Wet/Damp",4,2,9,2,3,1,25
2,2016-05-21,"21:08","B","Wet/Damp",4,2,9,2,3,2,19
2,2016-05-21,"21:08","B","Wet/Damp",4,2,9,1,2,2,40
1,2016-05-22,"20:45","A","Dry",4,1,9,1,3,1,18
1,2016-05-22,"20:45","A","Dry",4,1,9,2,3,2,16
2,2016-05-23,"14:35","M","Dry",1,1,9,2,2,2,74
2,2016-05-23,"17:20","U","Dry",1,1,1,1,3,1,44
2,2016-05-24,"14:28","A","Dry",1,1,9,2,3,2,65
2,2016-05-24,"14:28","A","Dry",1,1,9,1,3,2,68
2,2016-05-24,"14:28","A","Dry",1,1,9,1,3,1,46
2,2016-05-24,"20:22","A","Dry",1,1,1,1,3,2,65
1,2016-05-26,"11:55","A","Wet/Damp",1,2,8,3,3,2,75
1,2016-05-26,"16:32","U","Wet/Damp",1,2,2,1,2,1,20
1,2016-05-26,"17:20","U","Wet/Damp",1,2,9,3,3,1,8
2,2016-05-27,"23:45","A","Dry",4,1,9,1,3,1,45
2,2016-05-27,"23:45","A","Dry",4,1,9,2,3,2,45
3,2016-05-28,"10:16","A","Dry",1,1,1,1,3,1,26
3,2016-05-28,"10:16","A","Dry",1,1,1,1,3,1,46
1,2016-05-29,"20:18","U","Dry",1,1,5,1,3,1,60
1,2016-05-30,"17:35","U","Dry",1,1,9,3,2,1,15
3,2016-05-31,"16:03","A","Dry",1,1,9,1,3,1,20
3,2016-05-31,"16:03","A","Dry",1,1,9,2,3,1,21
3,2016-05-31,"16:03","A","Dry",1,1,19,1,3,1,28
2,2016-05-31,"17:50","U","Dry",1,1,23,1,3,1,16
2,2016-06-02,"15:15","U","Dry",1,1,9,1,3,1,37
2,2016-06-02,"15:15","U","Dry",1,1,9,2,3,1,10
2,2016-06-02,"15:15","U","Dry",1,1,9,2,3,2,12
1,2016-06-05,"13:42","U","Dry",1,1,8,3,2,1,1
1,2016-06-06,"13:00","U","Dry",1,1,8,3,3,1,36
3,2016-06-11,"20:35","U","Wet/Damp",4,2,9,1,3,1,63
3,2016-06-11,"20:35","U","Wet/Damp",4,2,9,2,3,1,25
2,2016-06-12,"12:48","U","Wet/Damp",1,2,9,2,3,2,65
2,2016-06-14,"21:32","U","Wet/Damp",1,1,9,2,3,2,25
1,2016-06-16,"12:15","U","Dry",1,1,9,3,3,1,100
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,1,31
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,2,27
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,1,9
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,2,7
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,1,1
2,2016-06-18,"13:15","A","Dry",1,1,8,2,3,2,54
2,2016-06-18,"14:48","U","Dry",1,1,9,1,3,1,36
2,2016-06-14,"00:20","U","Dry",7,1,9,1,3,1,37
2,2016-06-20,"17:34","A","Dry",1,1,9,2,3,2,27
2,2016-06-20,"17:34","A","Dry",1,1,9,1,3,2,31
2,2016-06-20,"17:34","A","Dry",1,1,9,2,3,2,24
2,2016-06-22,"16:15","U","Dry",1,1,9,1,3,1,90
1,2016-06-24,"01:15","U","Dry",4,1,9,3,2,1,24
2,2016-06-24,"15:15","U","Dry",1,1,9,1,3,2,20
2,2016-06-26,"12:00","U","Dry",1,1,1,1,3,1,44
2,2016-06-26,"12:45","A","Dry",1,1,1,1,3,1,54
1,2016-06-28,"16:07","U","Wet/Damp",1,2,9,3,3,2,16
1,2016-06-28,"16:27","A","Dry",1,1,9,3,2,2,92
1,2016-06-28,"23:44","A","Wet/Damp",4,1,9,1,3,1,34
1,2016-06-30,"12:11","U","Dry",1,1,19,3,3,2,79
2,2016-07-03,"08:20","A","Dry",1,1,9,1,3,2,67
2,2016-07-04,"10:54","M","Dry",1,1,9,1,3,2,39
3,2016-07-04,"23:15","U","Wet/Damp",4,2,9,3,2,1,21
1,2016-07-05,"15:24","U","Dry",1,1,9,3,3,1,6
1,2016-07-08,"03:30","A","Dry",4,1,19,2,3,1,26
2,2016-07-06,"08:00","A","Dry",1,1,9,1,3,2,27
1,2016-07-08,"11:34","B","Wet/Damp",1,1,3,1,3,1,21
2,2016-07-09,"11:55","A","Wet/Damp",1,2,9,1,3,2,30
1,2016-07-09,"15:20","A","Dry",1,1,11,2,3,2,53
1,2016-07-09,"21:35","U","Wet/Damp",1,2,9,3,2,1,52
2,2016-07-10,"13:10","A","Dry",1,1,9,2,3,2,40
3,2016-07-10,"15:48","U","Wet/Damp",1,2,9,1,3,2,42
2,2016-07-11,"16:30","A","Dry",1,1,4,1,2,1,75
2,2016-07-11,"18:12","U","Dry",1,1,1,1,2,1,10
4,2016-07-12,"09:45","A","Dry",1,1,9,1,3,1,76
4,2016-07-12,"09:45","A","Dry",1,1,9,2,3,1,21
2,2016-07-14,"08:22","A","Dry",1,1,3,1,3,2,45
2,2016-07-15,"07:52","U","Dry",1,1,1,1,3,1,11
2,2016-07-15,"13:28","A","Dry",1,1,9,1,3,1,53
2,2016-07-15,"13:28","A","Dry",1,1,9,2,3,2,19
2,2016-07-15,"13:28","A","Dry",1,1,8,1,3,1,53
2,2016-07-16,"03:05","M","Wet/Damp",4,5,21,1,3,1,51
2,2016-07-16,"03:05","M","Wet/Damp",4,5,11,1,2,1,35
2,2016-07-16,"03:05","M","Wet/Damp",4,5,11,2,2,1,22
2,2016-07-16,"16:09","A","Dry",1,1,9,2,3,1,2
2,2016-07-16,"16:09","A","Dry",1,1,9,2,3,2,6
3,2016-07-16,"21:45","U","Dry",4,1,9,1,3,1,43
2,2016-07-17,"13:16","A","Dry",1,1,1,1,1,1,32
2,2016-07-17,"13:16","A","Dry",1,1,1,1,2,1,61
2,2016-07-18,"18:25","M","Dry",1,1,9,1,3,2,38
2,2016-07-19,"07:55","A","Dry",1,1,11,2,3,2,49
2,2016-07-19,"17:30","U","Dry",1,1,19,2,3,2,20
2,2016-07-18,"18:39","U","Dry",1,1,9,2,3,2,36
2,2016-07-18,"18:39","U","Dry",1,1,9,2,3,2,7
2,2016-07-18,"18:39","U","Dry",1,1,9,2,3,2,8
2,2016-07-21,"09:45","U","Dry",1,1,9,2,3,2,12
2,2016-07-22,"22:20","A","Dry",4,1,4,3,3,1,36
1,2016-07-23,"14:03","U","Dry",1,1,9,3,3,2,31
1,2016-07-23,"14:03","U","Dry",1,1,9,3,3,2,1
2,2016-07-23,"13:40","A","Dry",1,1,9,1,3,2,49
2,2016-07-24,"01:31","A","Dry",1,1,19,1,2,1,26
2,2016-07-24,"01:31","A","Dry",1,1,19,2,3,2,15
2,2016-07-24,"01:31","A","Dry",1,1,8,1,3,1,43
2,2016-07-24,"01:31","A","Dry",1,1,19,2,3,2,20
2,2016-07-24,"12:34","U","Dry",1,1,9,1,3,1,22
2,2016-07-26,"06:39","U","Wet/Damp",1,2,9,1,3,2,44
2,2016-07-26,"07:50","M","Dry",1,1,9,1,3,1,33
2,2016-07-26,"07:50","M","Dry",1,1,9,1,3,1,37
2,2016-07-27,"11:10","A","Dry",1,1,9,1,3,2,27
2,2016-07-28,"10:15","A","Dry",1,1,9,1,3,1,53
2,2016-07-28,"10:15","A","Dry",1,1,9,1,3,2,68
3,2016-07-28,"16:18","M","Wet/Damp",1,2,9,1,3,2,21
3,2016-07-29,"18:50","U","Dry",1,1,9,1,3,2,24
3,2016-07-29,"18:50","U","Dry",1,1,9,2,3,2,2
1,2016-07-29,"20:18","A","Dry",1,1,9,2,3,2,20
1,2016-07-29,"20:18","A","Dry",1,1,9,2,3,1,17
1,2016-07-30,"05:22","A","Dry",1,1,9,3,2,2,20
2,2016-08-05,"14:50","A","Dry",1,1,9,1,3,2,20
2,2016-08-05,"14:50","A","Dry",1,1,9,2,3,2,27
2,2016-08-05,"17:30","A","Dry",1,1,5,1,3,1,46
1,2016-08-07,"00:57","U","Dry",4,1,9,1,2,1,34
1,2016-08-07,"00:57","U","Dry",4,1,9,2,2,1,20
1,2016-08-07,"00:57","U","Dry",4,1,9,2,2,1,24
1,2016-08-07,"17:32","U","Dry",1,1,1,1,2,1,14
2,2016-08-09,"18:25","A","Dry",1,1,9,1,3,1,20
2,2016-08-09,"18:25","A","Dry",1,1,9,2,3,1,14
1,2016-08-10,"01:20","A","Wet/Damp",4,2,5,1,1,1,21
2,2016-08-11,"17:55","A","Dry",1,1,9,1,3,2,37
2,2016-08-11,"18:15","U","Dry",1,1,22,1,3,1,50
1,2016-08-12,"16:00","U","Dry",1,1,2,3,3,1,64
1,2016-08-13,"00:45","A","Wet/Damp",4,2,8,3,2,1,38
2,2016-08-14,"16:55","A","Dry",1,1,1,1,2,1,51
2,2016-08-15,"21:10","B","Dry",4,1,5,1,3,2,35
2,2016-08-16,"17:20","B","Dry",1,1,11,2,3,1,13
2,2016-08-16,"17:20","B","Dry",1,1,11,2,3,2,34
2,2016-08-16,"17:20","B","Dry",1,1,11,2,3,2,17
2,2016-08-16,"17:20","B","Dry",1,1,11,2,3,1,60
2,2016-08-17,"11:35","U","Dry",1,1,11,3,3,1,48
2,2016-08-18,"07:35","B","Dry",1,1,3,1,3,1,51
1,2016-08-18,"19:32","A","Dry",1,1,19,1,3,1,32
2,2016-08-19,"11:20","A","Wet/Damp",1,2,9,1,3,2,27
4,2016-08-19,"19:04","M","Dry",1,1,9,1,3,1,23
2,2016-08-19,"23:14","A","Wet/Damp",4,1,9,1,3,1,20
2,2016-08-19,"23:14","A","Wet/Damp",4,1,9,2,3,2,18
3,2016-08-21,"18:15","U","Dry",1,1,2,1,3,1,12
3,2016-08-21,"18:15","U","Dry",1,1,2,1,3,1,13
2,2016-08-21,"22:50","U","Dry",4,9,9,1,3,1,34
3,2016-08-23,"20:54","A","Dry",4,1,9,1,2,1,26
3,2016-08-23,"20:54","A","Dry",4,1,9,2,2,1,25
3,2016-08-23,"20:54","A","Dry",4,1,9,1,2,2,54
2,2016-08-23,"16:20","A","Dry",1,1,9,1,3,1,40
2,2016-08-24,"22:20","A","Dry",4,1,9,1,3,1,46
1,2016-08-25,"17:01","U","Wet/Damp",1,2,19,3,3,2,50
2,2016-08-26,"18:35","U","Dry",1,1,9,1,3,2,36
2,2016-08-26,"18:35","U","Dry",1,1,9,2,3,2,19
2,2016-08-26,"18:35","U","Dry",1,1,9,2,3,1,15
3,2016-08-28,"18:30","A","Dry",1,1,9,1,2,1,49
3,2016-08-28,"18:30","A","Dry",1,1,9,2,2,2,28
3,2016-08-28,"18:30","A","Dry",1,1,9,1,3,2,58
2,2016-08-29,"19:10","U","Dry",1,1,9,1,3,1,45
2,2016-08-29,"19:10","U","Dry",1,1,9,2,3,1,30
2,2016-08-29,"19:10","U","Dry",1,1,9,2,3,1,24
1,2016-08-30,"07:00","U","Dry",1,1,9,3,3,1,32
1,2016-08-29,"13:30","U","Dry",1,1,17,1,3,1,28
2,2016-09-03,"15:28","B","Wet/Damp",1,2,9,1,3,2,37
2,2016-09-03,"15:28","B","Wet/Damp",1,2,9,2,3,2,36
2,2016-09-03,"15:50","U","Wet/Damp",1,2,9,1,3,2,26
1,2016-09-03,"22:13","A","Wet/Damp",1,2,9,3,2,1,60
2,2016-09-06,"14:39","A","Dry",1,1,9,1,3,2,85
2,2016-09-06,"20:40","A","Dry",4,1,9,1,1,1,30
2,2016-09-06,"20:40","A","Dry",4,1,9,2,1,2,26
1,2016-09-07,"11:31","A","Dry",1,1,11,2,3,2,65
1,2016-09-09,"11:19","U","Dry",1,1,8,3,3,1,61
1,2016-09-09,"17:00","U","Dry",1,1,9,3,3,2,55
2,2016-09-10,"20:35","U","Dry",1,1,9,2,3,1,9
2,2016-09-11,"17:15","A","Dry",1,1,9,1,2,1,28
2,2016-09-11,"20:07","A","Dry",4,1,9,2,2,1,19
2,2016-09-11,"20:07","A","Dry",4,1,9,1,3,1,35
2,2016-09-13,"11:44","A","Dry",1,1,5,1,3,1,47
3,2016-09-13,"19:05","U","Dry",1,1,1,1,3,1,14
2,2016-09-14,"19:10","A","Dry",1,1,1,1,3,2,52
2,2016-09-15,"08:20","A","Dry",1,1,1,1,3,1,60
2,2016-09-15,"18:40","A","Dry",1,1,1,1,3,1,14
2,2016-09-16,"11:08","U","Dry",1,1,9,1,3,2,52
2,2016-09-16,"11:08","U","Dry",1,1,9,2,3,2,55
1,2016-09-17,"13:15","U","Dry",1,1,9,3,3,1,1
3,2016-09-19,"15:14","U","Dry",1,1,9,1,3,1,26
1,2016-09-19,"16:45","A","Dry",1,1,1,1,3,1,55
2,2016-09-20,"16:55","A","Dry",1,1,9,1,3,1,63
1,2016-09-22,"16:13","U","Dry",1,1,9,3,3,1,11
2,2016-09-23,"11:25","M","Dry",1,1,9,1,3,2,56
1,2016-09-23,"13:10","A","Dry",1,1,19,3,3,1,19
2,2016-09-26,"15:29","U","Wet/Damp",1,2,2,1,3,1,16
2,2016-09-28,"08:10","U","Dry",1,1,9,1,3,2,55
2,2016-09-28,"20:19","A","Dry",4,1,1,1,2,1,37
2,2016-09-29,"22:00","B","Dry",4,1,9,1,1,1,18
2,2016-09-29,"22:00","B","Dry",4,1,9,2,3,1,72
1,2016-10-01,"15:29","U","Dry",1,1,9,3,3,2,24
2,2016-10-01,"22:55","A","Dry",4,1,9,1,3,2,18
1,2016-10-03,"09:45","U","Dry",1,1,9,3,3,1,43
2,2016-10-03,"13:30","A","Dry",1,8,9,2,3,2,11
1,2016-10-03,"13:37","B","Dry",1,1,9,3,3,2,35
2,2016-10-04,"07:00","U","Dry",1,1,1,1,3,1,51
1,2016-10-05,"08:45","U","Dry",1,1,9,3,3,1,13
2,2016-10-05,"15:55","A","Dry",1,1,9,1,3,1,23
2,2016-10-09,"19:45","U","Dry",4,1,3,1,3,1,23
1,2016-10-06,"08:58","U","Dry",1,1,10,3,3,1,5
2,2016-10-08,"04:58","M","Dry",4,1,9,1,3,1,28
2,2016-10-08,"11:21","A","Dry",1,1,9,2,3,2,62
2,2016-10-08,"11:21","A","Dry",1,1,9,1,3,1,54
2,2016-10-08,"11:21","A","Dry",1,1,9,2,3,2,48
2,2016-10-08,"11:53","B","Wet/Damp",1,1,19,1,3,1,38
