"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
2,2017-04-13,"21:25","U","Dry",4,1,9,1,3,1,42
1,2017-04-21,"13:25","U","Dry",1,1,9,3,3,2,46
1,2017-04-23,"12:32","M","Dry",1,1,9,1,2,2,58
2,2017-04-23,"18:35","U","Dry",7,1,9,1,3,1,5
2,2017-04-25,"17:00","U","Wet",7,1,9,1,3,1,29
3,2017-04-25,"17:55","M","Dry",7,1,19,1,3,2,29
2,2017-04-25,"17:05","U","Wet",7,2,8,2,3,2,17
2,2017-04-26,"06:05","U","Dry",7,1,1,1,3,1,25
2,2017-04-27,"07:34","A(M)","Wet",1,1,9,1,3,1,33
2,2017-04-27,"17:20","U","Dry",7,1,9,1,3,1,23
1,2017-04-28,"09:43","M","Dry",1,1,9,1,3,1,59
2,2017-04-28,"16:00","A","Dry",1,1,9,1,3,1,39
2,2017-04-28,"14:46","U","Dry",1,1,9,1,3,2,20
1,2017-05-01,"14:54","U","Dry",1,1,9,3,2,2,NA
2,2017-05-06,"19:49","U","Dry",7,1,1,1,3,1,14
2,2017-05-09,"15:40","U","Dry",1,1,3,1,3,1,18
2,2017-05-09,"17:40","A","Dry",7,1,1,1,2,1,21
3,2017-05-12,"09:00","A","Dry",1,1,8,1,3,2,25
1,2017-05-12,"15:15","A","Wet",1,1,9,3,3,2,33
2,2017-05-13,"17:01","U","Dry",7,1,9,1,2,1,17
2,2017-05-20,"09:32","A","Dry",1,1,9,1,3,1,78
1,2017-05-22,"19:30","U","Dry",7,1,9,3,2,1,2
2,2017-05-24,"07:35","A","Dry",1,1,9,1,3,1,44
1,2017-05-23,"12:30","U","Dry",1,1,9,3,3,2,29
2,2017-05-24,"19:33","U","Dry",7,1,9,1,3,1,22
2,2017-05-25,"06:40","A","Dry",7,1,9,1,2,1,40
2,2017-05-15,"15:15","U","Dry",1,1,9,1,3,1,23
1,2017-05-22,"12:30","U","Dry",1,1,9,3,3,1,75
1,2017-05-28,"07:00","U","Dry",7,1,9,2,3,1,36
2,2017-05-30,"18:09","B","Dry",7,1,9,1,3,1,58
2,2017-05-31,"19:33","U","Dry",7,1,9,1,3,1,39
1,2017-06-01,"02:13","U","Dry",4,1,9,3,2,1,36
1,2017-06-01,"03:25","U","Dry",6,1,9,1,3,1,28
2,2017-06-03,"13:45","U","Dry",1,1,9,3,2,2,6
1,2017-06-03,"18:05","U","Dry",7,1,8,2,3,2,44
2,2017-06-05,"09:00","U","Wet",1,2,21,1,3,1,18
